name,localAddress,remoteAddress,sendQueue,recvQueue,state,type,
166.11.5.7:1080-169.60.144.55:8197,166.11.5.7.1080,169.60.144.55.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.55:8198,166.11.5.7.1080,169.60.144.55.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:8197,166.11.5.7.1080,169.60.144.54.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:8198,166.11.5.7.1080,169.60.144.54.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:8197,166.11.5.7.1080,169.63.88.188.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:8198,166.11.5.7.1080,169.63.88.188.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:8197,166.11.5.7.1080,169.50.182.136.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:8198,166.11.5.7.1080,169.50.182.136.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.73:8281,166.11.5.7.1080,162.26.237.73.8281,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.40:8281,166.11.5.7.1080,162.26.237.40.8281,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:8197,166.11.5.7.1080,169.50.183.9.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:8198,166.11.5.7.1080,169.50.183.9.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.73:8279,166.11.5.7.1080,162.26.237.73.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.55:8249,166.11.5.7.1080,169.60.144.55.8249,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:8243,166.11.5.7.1080,169.50.182.136.8243,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:8243,166.11.5.7.1080,169.60.144.54.8243,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:8245,166.11.5.7.1080,169.50.183.9.8245,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8277,166.11.5.7.1080,169.63.151.50.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.68.34:3822,166.11.5.7.1080,169.42.68.34.3822,100,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:8251,166.11.5.7.1080,169.50.183.9.8251,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8279,166.11.5.7.1080,169.63.151.50.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.78:8279,166.11.5.7.1080,169.50.187.78.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.61:1264,166.11.5.7.1080,162.26.106.61.1264,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.65:8279,166.11.5.7.1080,162.26.106.65.8279,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.166:8277,166.11.5.7.1080,169.50.221.166.8277,356,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8277,166.11.5.7.1080,162.26.237.44.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8198,166.11.5.7.1080,162.26.237.44.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8199,166.11.5.7.1080,162.26.237.44.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8200,166.11.5.7.1080,162.26.237.44.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:8199,166.11.5.7.1080,169.63.88.188.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:8197,166.11.5.7.1080,169.50.218.89.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:8198,166.11.5.7.1080,169.50.218.89.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:8199,166.11.5.7.1080,169.50.218.89.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8197,166.11.5.7.1080,169.42.143.59.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8198,166.11.5.7.1080,169.42.143.59.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8199,166.11.5.7.1080,169.42.143.59.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8197,166.11.5.7.1080,169.63.151.50.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8199,166.11.5.7.1080,169.63.151.50.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8201,166.11.5.7.1080,169.63.151.50.8201,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.226.195:8198,166.11.5.7.1080,162.26.226.195.8198,0,0,FIN_WAIT_2,TCP,
166.11.5.7:1080-162.26.106.108:8277,166.11.5.7.1080,162.26.106.108.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.37:8277,166.11.5.7.1080,162.26.235.37.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:8196,166.11.5.7.1080,169.50.221.145.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:8197,166.11.5.7.1080,169.50.221.145.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:8198,166.11.5.7.1080,169.50.221.145.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:8200,166.11.5.7.1080,169.50.221.145.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.239.54:8202,166.11.5.7.1080,162.26.239.54.8202,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:8202,166.11.5.7.1080,169.50.218.89.8202,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8203,166.11.5.7.1080,169.63.151.50.8203,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:8203,166.11.5.7.1080,169.50.218.89.8203,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:8203,166.11.5.7.1080,169.63.88.188.8203,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8205,166.11.5.7.1080,162.26.237.44.8205,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.55:8258,166.11.5.7.1080,169.60.144.55.8258,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:8251,166.11.5.7.1080,169.60.144.54.8251,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8204,166.11.5.7.1080,169.42.143.59.8204,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:8204,166.11.5.7.1080,169.63.88.188.8204,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8205,166.11.5.7.1080,169.42.143.59.8205,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.151.50:8206,166.11.5.7.1080,169.63.151.50.8206,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8207,166.11.5.7.1080,162.26.237.44.8207,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:8253,166.11.5.7.1080,169.60.144.54.8253,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:8255,166.11.5.7.1080,169.50.182.136.8255,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:8256,166.11.5.7.1080,169.50.182.136.8256,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.40:8279,166.11.5.7.1080,162.26.237.40.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.84:8279,166.11.5.7.1080,162.26.237.84.8279,1049,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.55:2974,166.11.5.7.1080,169.60.144.55.2974,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.108:8280,166.11.5.7.1080,162.26.106.108.8280,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.55:2975,166.11.5.7.1080,169.60.144.55.2975,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:2866,166.11.5.7.1080,169.50.218.89.2866,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.89:2867,166.11.5.7.1080,169.50.218.89.2867,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.180.88:2843,166.11.5.7.1080,169.50.180.88.2843,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.44:8280,166.11.5.7.1080,162.26.237.44.8280,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.37:8280,166.11.5.7.1080,162.26.235.37.8280,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.68.34:1189,166.11.5.7.1080,169.42.68.34.1189,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:3656,166.11.5.7.1080,169.50.182.136.3656,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.182.136:3657,166.11.5.7.1080,169.50.182.136.3657,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.166:8279,166.11.5.7.1080,169.50.221.166.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:4367,166.11.5.7.1080,169.50.221.145.4367,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.221.145:4368,166.11.5.7.1080,169.50.221.145.4368,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.8:2132,166.11.5.7.1080,169.50.220.8.2132,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.65:8280,166.11.5.7.1080,162.26.106.65.8280,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.8:2134,166.11.5.7.1080,169.50.220.8.2134,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.61:3689,166.11.5.7.1080,162.26.106.61.3689,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:3364,166.11.5.7.1080,169.63.88.188.3364,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.88.188:3366,166.11.5.7.1080,169.63.88.188.3366,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.45:1740,166.11.5.7.1080,169.50.187.45.1740,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:3330,166.11.5.7.1080,169.50.183.9.3330,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.163.162:8277,166.11.5.7.1080,169.42.163.162.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.163.162:8279,166.11.5.7.1080,169.42.163.162.8279,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.45:1747,166.11.5.7.1080,169.50.187.45.1747,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.78:8277,166.11.5.7.1080,169.50.187.78.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.237.84:8281,166.11.5.7.1080,162.26.237.84.8281,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.238.55:8282,166.11.5.7.1080,162.26.238.55.8282,52,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.238.55:8281,166.11.5.7.1080,162.26.238.55.8281,0,74,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.78.196:1559,166.11.5.7.1080,169.63.78.196.1559,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.78.196:1565,166.11.5.7.1080,169.63.78.196.1565,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8278,166.11.5.7.1080,162.26.235.44.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8277,166.11.5.7.1080,162.26.235.44.8277,233,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.110.85:8278,166.11.5.7.1080,162.26.110.85.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8196,166.11.5.7.1080,162.26.235.44.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8197,166.11.5.7.1080,162.26.235.44.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.110.85:8277,166.11.5.7.1080,162.26.110.85.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8198,166.11.5.7.1080,162.26.235.44.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8199,166.11.5.7.1080,162.26.235.44.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8200,166.11.5.7.1080,162.26.235.44.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:1796,166.11.5.7.1080,169.50.218.198.1796,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:1797,166.11.5.7.1080,169.50.218.198.1797,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:4150,166.11.5.7.1080,169.50.183.9.4150,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.68.34:1348,166.11.5.7.1080,169.42.68.34.1348,5519,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.101.189:1287,166.11.5.7.1080,169.42.101.189.1287,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.101.189:1288,166.11.5.7.1080,169.42.101.189.1288,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:1723,166.11.5.7.1080,169.50.219.98.1723,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:1725,166.11.5.7.1080,169.50.219.98.1725,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8196,166.11.5.7.1080,169.50.218.198.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8197,166.11.5.7.1080,169.50.218.198.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8198,166.11.5.7.1080,169.50.218.198.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8199,166.11.5.7.1080,169.50.218.198.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8200,166.11.5.7.1080,169.50.218.198.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.29:8278,166.11.5.7.1080,162.26.235.29.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.29:8277,166.11.5.7.1080,162.26.235.29.8277,697,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.61:4237,166.11.5.7.1080,162.26.106.61.4237,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.180.88:3125,166.11.5.7.1080,169.50.180.88.3125,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.122:1436,166.11.5.7.1080,169.50.187.122.1436,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.122:1440,166.11.5.7.1080,169.50.187.122.1440,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.31:1240,166.11.5.7.1080,169.50.220.31.1240,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.31:1244,166.11.5.7.1080,169.50.220.31.1244,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.185.24:1763,166.11.5.7.1080,169.50.185.24.1763,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.185.24:1767,166.11.5.7.1080,169.50.185.24.1767,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.20:8277,166.11.5.7.1080,169.50.218.20.8277,180,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.20:8278,166.11.5.7.1080,169.50.218.20.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.181.31:8277,166.11.5.7.1080,169.50.181.31.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.181.31:8278,166.11.5.7.1080,169.50.181.31.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:1430,166.11.5.7.1080,169.61.118.186.1430,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:1431,166.11.5.7.1080,169.61.118.186.1431,292,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.180.88:3145,166.11.5.7.1080,169.50.180.88.3145,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8196,166.11.5.7.1080,169.50.219.98.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8197,166.11.5.7.1080,169.50.219.98.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8198,166.11.5.7.1080,169.50.219.98.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8199,166.11.5.7.1080,169.50.219.98.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8200,166.11.5.7.1080,169.50.219.98.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.226.195:8278,166.11.5.7.1080,162.26.226.195.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.226.195:8277,166.11.5.7.1080,162.26.226.195.8277,84,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8278,166.11.5.7.1080,169.42.143.59.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8277,166.11.5.7.1080,169.42.143.59.8277,633,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8226,166.11.5.7.1080,169.48.180.5.8226,391,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8227,166.11.5.7.1080,169.48.180.5.8227,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8228,166.11.5.7.1080,169.48.180.5.8228,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8229,166.11.5.7.1080,169.48.180.5.8229,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8230,166.11.5.7.1080,169.48.180.5.8230,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:2867,166.11.5.7.1080,169.60.144.54.2867,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:2871,166.11.5.7.1080,169.60.144.54.2871,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8196,166.11.5.7.1080,169.61.118.186.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8197,166.11.5.7.1080,169.61.118.186.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8198,166.11.5.7.1080,169.61.118.186.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8199,166.11.5.7.1080,169.61.118.186.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8200,166.11.5.7.1080,169.61.118.186.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.238.55:8197,166.11.5.7.1080,162.26.238.55.8197,0,0,FIN_WAIT_2,TCP,
166.11.5.7:1080-162.26.238.55:4088,166.11.5.7.1080,162.26.238.55.4088,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4091,166.11.5.7.1080,162.26.238.55.4091,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4093,166.11.5.7.1080,162.26.238.55.4093,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4095,166.11.5.7.1080,162.26.238.55.4095,0,0,TIME_WAIT,TCP,
