Instance,Time,Business,Application,App_type,Metric,Threshold,Count,Load,
XET_DMA_1,14:42:27,GEMS,ETT,MA,Orders per Day,250000,1519,1,
VIE_DMA_1,14:42:29,GEMS,ETT,MA,Orders per Day,250000,109,0,
XET_DMA_2,14:42:39,GEMS,ETT,MA,Orders per Day,250000,698,0,
EUX_DMA_1,12:50:40,GEMS,ETT,MA,Orders per Day,250000,8,0,
HR_CHIX_DMA_1,13:42:51,GEMS,ETT,OM,Orders per Day,150000,23675,16,
LSE_DMA_2,14:42:46,GEMS,ETT,MA,Orders per Day,250000,3301,1,
OM.DMA.2,14:42:53,GEMS,ETT,OM,Orders per Day,150000,25380,17,
FE_XET_DMA_1,14:42:35,GEMS,ETT,FR,Orders per Day,250000,1240,0,
STO_DMA_1,14:42:48,GEMS,ETT,MA,Orders per Day,250000,4418,2,
OM.XET.DMA.1,14:42:35,GEMS,ETT,OM,Orders per Day,150000,3880,3,
OM.DMA.9,14:42:51,GEMS,ETT,OM,Orders per Day,150000,10069,7,
XET_DMA_6,14:42:35,GEMS,ETT,MA,Orders per Day,250000,3880,2,
ENX_DMA_1,14:42:43,GEMS,ETT,MA,Orders per Day,250000,20339,8,
OM.FFODMA.1,12:50:40,GEMS,ETT,OM,Orders per Day,150000,15,0,
LIFFE_DMA_1,08:09:45,GEMS,ETT,MA,Orders per Day,250000,4,0,
HR_OM_DMA_LSE_1,13:42:53,GEMS,ETT,OM,Orders per Day,150000,11273,8,
OM.AXP.1,14:42:53,GEMS,ETT,OM,Orders per Day,150000,66528,44,
LSE_DMAHR_1,14:42:54,GEMS,ETT,MA,Orders per Day,250000,11274,5,
LSE_DMA_1,14:42:43,GEMS,ETT,MA,Orders per Day,250000,2879,1,
OM.FIDSORT.1,14:42:33,GEMS,ETT,OM,Orders per Day,150000,1061,1,
OSL_DMA_1,14:42:32,GEMS,ETT,MA,Orders per Day,250000,104,0,
OM.DMA.5,14:42:53,GEMS,ETT,OM,Orders per Day,150000,7285,5,
LSE_AXP_1,14:42:53,GEMS,ETT,MA,Orders per Day,250000,28390,11,
OM.DMA.10,14:42:34,GEMS,ETT,OM,Orders per Day,150000,1152,1,
CPH_DMA_1,13:39:20,GEMS,ETT,MA,Orders per Day,250000,1394,1,
OM.DMA.1,13:15:57,GEMS,ETT,OM,Orders per Day,150000,24,0,
FE_DMA_1,14:42:56,GEMS,ETT,FR,Orders per Day,250000,24596,10,
MIL_DMA_9,14:42:50,GEMS,ETT,MA,Orders per Day,250000,10231,4,
OM.DMA.7,14:42:52,GEMS,ETT,OM,Orders per Day,150000,16637,11,
SWX_DMA_1,14:42:48,GEMS,ETT,MA,Orders per Day,250000,5641,2,
OM.DMA.4,14:42:38,GEMS,ETT,OM,Orders per Day,150000,5717,4,
FE_DMA_HR_GSAFN_1,14:42:54,GEMS,ETT,FR,Orders per Day,250000,23575,9,
NQX_AXP_1,16:29:39,GEMS,ETT,MA,Orders per Day,250000,2058,1,
OM.DMA.8,14:42:51,GEMS,ETT,OM,Orders per Day,150000,2917,2,
SOR_ETT_3,14:42:46,GEMS,ETT,SORT,open Orders per Day,80000,16922,21,
NQX_QSA_1,16:27:18,GEMS,ETT,MA,Orders per Day,250000,24,0,
OM.DMA.3,07:36:24,GEMS,ETT,OM,Orders per Day,150000,13,0,
FE_DMA_JANE_1,14:38:49,GEMS,ETT,FR,Orders per Day,250000,308,0,
HEL_DMA_1,14:42:41,GEMS,ETT,MA,Orders per Day,250000,899,0,
OM.DMA.6,14:38:49,GEMS,ETT,OM,Orders per Day,150000,308,0,
XFM_EMEA1,14:42:49,GEMS,ETT,XFM,open Orders per Day,25000,5473,22,
JSE_DMA_1,14:42:49,GEMS,ETT,MA,Orders per Day,250000,884,0,
MAD_DMA_1,14:42:48,GEMS,ETT,MA,Orders per Day,250000,4458,2,
MIL_DMA_1,07:38:22,GEMS,ETT,MA,Orders per Day,250000,1,0,
OM.AXP.2,14:42:52,GEMS,ETT,OM,Orders per Day,150000,66333,44,
VIE_AXP_1,14:42:34,GEMS,ETT,MA,Orders per Day,250000,1851,1,
OM.AXP.3,14:42:53,GEMS,ETT,OM,Orders per Day,150000,66332,44,
XFM_PAIRS,14:41:13,GEMS,ETT,XFM,open Orders per Day,25000,90,0,
ENX_DMA_6,12:23:52,GEMS,ETT,MA,Orders per Day,250000,3,0,
HEL_AXP_1,14:42:53,GEMS,ETT,MA,Orders per Day,250000,2170,1,
FE_DMA_IVC_1,14:42:51,GEMS,ETT,FR,Orders per Day,250000,2449,1,
MIL_DMA_10,14:42:50,GEMS,ETT,MA,Orders per Day,250000,8076,3,
MIL_AXP_4,14:42:51,GEMS,ETT,MA,Orders per Day,250000,2899,1,
MIL_AXP_3,14:42:51,GEMS,ETT,MA,Orders per Day,250000,2901,1,
OSL_AXP_1,14:42:46,GEMS,ETT,MA,Orders per Day,250000,3000,1,
STO_AXP_1,14:42:51,GEMS,ETT,MA,Orders per Day,250000,3127,1,
OM.QSA.2,14:42:50,GEMS,ETT,OM,Orders per Day,150000,14107,9,
CPH_AXP_1,14:42:45,GEMS,ETT,MA,Orders per Day,250000,2194,1,
MIL_QSA_6,14:41:05,GEMS,ETT,MA,Orders per Day,250000,461,0,
FE_DMA_HR_QLB_1,14:42:47,GEMS,ETT,FR,Orders per Day,250000,4497,2,
MAD_AXP_1,14:42:49,GEMS,ETT,MA,Orders per Day,250000,3246,1,
MIL_QSA_5,14:42:05,GEMS,ETT,MA,Orders per Day,250000,458,0,
FE_DMA_INF_1,14:42:38,GEMS,ETT,FR,Orders per Day,250000,5233,2,
XET_QSA_1,14:42:45,GEMS,ETT,MA,Orders per Day,250000,17114,7,
ENX_QSA_7,14:42:45,GEMS,ETT,MA,Orders per Day,250000,25919,10,
CHIX_AXP_1,14:42:53,GEMS,ETT,MA,Orders per Day,250000,53852,22,
ENX_QSA_6,14:42:45,GEMS,ETT,MA,Orders per Day,250000,25882,10,
TRQ_AXP_1,14:42:53,GEMS,ETT,MA,Orders per Day,250000,38698,15,
LSE_QSA_2,14:42:46,GEMS,ETT,MA,Orders per Day,250000,30188,12,
NYFX_AXP_01,14:42:46,GEMS,ETT,MA,Orders per Day,250000,17244,7,
FE_DMA_GSA_1,14:42:55,GEMS,ETT,FR,Orders per Day,250000,10057,4,
STO_QSA_1,14:42:32,GEMS,ETT,MA,Orders per Day,250000,11133,4,
XFM_CATS,14:41:19,GEMS,ETT,XFM,open Orders per Day,25000,818,3,
OM.QSASORT.1,14:42:48,GEMS,ETT,OM,Orders per Day,150000,8186,5,
FE_DMA_QLB_1,14:42:48,GEMS,ETT,FR,Orders per Day,250000,2468,1,
LIFFE_DMA_3,13:11:32,GEMS,ETT,MA,Orders per Day,250000,57,0,
EUX_AXP_1,14:42:06,GEMS,ETT,MA,Orders per Day,250000,185,0,
HEL_QSA_1,14:42:45,GEMS,ETT,MA,Orders per Day,250000,8866,4,
CPH_QSA_1,14:42:45,GEMS,ETT,MA,Orders per Day,250000,3971,2,
OM.QSAHF.5,14:42:54,GEMS,ETT,OM,Orders per Day,150000,55400,37,
OM.QSAHF.2,14:42:50,GEMS,ETT,OM,Orders per Day,150000,54321,36,
OSL_QSA_1,14:42:31,GEMS,ETT,MA,Orders per Day,250000,6378,3,
OM.QSAHF.3,14:42:54,GEMS,ETT,OM,Orders per Day,150000,47654,32,
LSE_QSA_1,14:42:46,GEMS,ETT,MA,Orders per Day,250000,27894,11,
CHIX_DMA_1,14:42:45,GEMS,ETT,MA,Orders per Day,250000,2415,1,
CHIX_QSA_1,14:42:46,GEMS,ETT,MA,Orders per Day,250000,4263,2,
OM.QSA.1,10:01:37,GEMS,ETT,OM,Orders per Day,150000,1,0,
ARCA_AXP_1,08:47:33,GEMS,ETT,MA,Orders per Day,250000,20,0,
LIFFE_QSA_2,14:34:13,GEMS,ETT,MA,Orders per Day,250000,19,0,
OM.QSA.3,14:42:39,GEMS,ETT,OM,Orders per Day,150000,1059,1,
ROR_QSA_1,10:01:37,GEMS,ETT,MA,Orders per Day,250000,1,0,
LIFFE_DMA_5,08:28:06,GEMS,ETT,MA,Orders per Day,250000,2,0,
EUX_QSA_1,14:38:39,GEMS,ETT,MA,Orders per Day,250000,16,0,
MAD_QSA_1,10:21:31,GEMS,ETT,MA,Orders per Day,250000,18,0,
BATS_QSA_1,14:42:48,GEMS,ETT,MA,Orders per Day,250000,249,0,
LIFFE_QSA_1,14:42:39,GEMS,ETT,MA,Orders per Day,250000,1024,0,
SOR_BETA_2,14:42:46,GEMS,ETT,SORT,open Orders per Day,80000,7908,10,
SOR_ETT_BETA_EURO,14:42:46,GEMS,ETT,SORT,open Orders per Day,80000,5690,7,
LIFFE_DMA_4,09:21:05,GEMS,ETT,MA,Orders per Day,250000,1,0,
FE_XET_GSA_1,13:30:12,GEMS,ETT,FR,Orders per Day,250000,2640,1,
OM.QSAHF.4,14:42:46,GEMS,ETT,OM,Orders per Day,150000,211,0,
