Item,Value
Memory Usage,195264 kB
Bound Host Name,-- undefined --
Bound Local Port,-1
Page updates,0
Record updates,16644174
Updates received,0
Updates sent,0
Transformer build date,Tue May 21 17:59:50 BST 2013
Transformer build number,260550
Transformer version,6.0.3
Average Recent CPU%,0.031661604
Process Uptime,up 47 days; 23:03
Process Start Time,Tue Jun 18 17:13:14 EDT 2013
PID,20767
Http server port,65535
Port the registry is running on,11002
Client session max latency,null
Client session avg latency,null